SIMULATION NAME,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline
PROJECTION,All exposed,Daily exposed,Daily cases,Daily recovered,Daily deaths,All cases,All recovered,All deaths,Active cases,All exposed,Daily exposed,Daily cases,Daily recovered,Daily deaths,All cases,All recovered,All deaths,Active cases
Date,,,,,,,,,,,,,,,,,,
2020-07-15,18315168.55031968,105858.09305560961,5843.230757212423,4560.544787187783,2281.4635449453663,748023.0272993245,463003.7356169657,225884.1527095728,59135.13897278602,62295574.62554404,0.619997650384903,0.19351205881550976,0.6218322041162633,0.33322020060325735,2741004.2804603064,1836470.0270230346,904529.8577890389,4.395648232894018
2020-07-16,18418411.32066249,103242.77034281194,5733.830047380299,4490.827621934675,2247.4107762108215,753756.8573467048,467494.5632389004,228131.56348578364,58130.73062202078,62295575.15572392,0.5301798805594444,0.1649393893318329,0.5300049917737738,0.28401232919554975,2741004.445399696,1836470.5570280263,904530.1418013681,3.7465703015914187
2020-07-17,18519483.91986545,101072.59920296073,5624.49813038819,4420.369386573482,2212.9406599689796,759381.355477093,471914.9326254739,230344.5041457526,57121.91870586653,62295575.60929489,0.45357096940279007,0.14058596886406743,0.45173894432386474,0.24207154871034908,2741004.5859856647,1836471.0087669706,904530.3838729168,3.1933457773411646
2020-07-18,18618462.326998018,98978.40713256598,5515.40982827275,4349.273566067962,2178.106574218621,764896.7653053658,476264.20619154186,232522.61071997124,56109.94839385268,62295575.9956112,0.38631630688905716,0.11982907110220227,0.3850313849363033,0.20632475310482762,2741004.705814736,1836471.3937983555,904530.5901976699,2.7218187105609104
2020-07-19,18715125.74409981,96663.41710179299,5406.740793723986,4277.641163794982,2142.9608118925644,770303.5060990897,480541.8473553368,234665.5715318638,55096.08721188913,62295576.322492905,0.3268817067146301,0.10213698248650899,0.3281753155213766,0.17585723936646377,2741004.8079517186,1836471.721973671,904530.7660549093,2.319923138129525
2020-07-20,18809325.648446552,94199.90434674174,5298.580145697855,4205.569571009659,2107.5539786880563,775602.0862447876,484747.4169263465,236773.12551055185,54081.54380788922,62295576.60128378,0.2787908762693405,0.08705637481979331,0.27971576544274246,0.1498893350009355,2741004.895008093,1836472.0016894366,904530.9159442444,1.977374412235804
2020-07-21,18901383.45672132,92057.8082747683,5190.944938075016,4133.1517287397855,2071.934997679753,780793.0311828626,488880.5686550863,238845.0605082316,53067.40201954471,62295576.83969335,0.23840957134962082,0.0742016214076897,0.2384126065625531,0.12775647069631135,2741004.969209715,1836472.2401020431,904531.0437007151,1.6854069565888494
2020-07-22,18991385.38070318,90001.92398186028,5083.864403946881,4060.4764746680767,2036.150937631461,785876.8955868095,492941.04512975435,240881.21144586307,52054.63901119208,62295577.04352644,0.20383308827877045,0.06324473446590165,0.2032088635823046,0.10889218751447319,2741005.032454449,1836472.4433109066,904531.1525929025,1.4365506400354207
2020-07-23,19079243.108787905,87857.7280847244,4977.416348328667,3987.6299383802125,2000.2461954146547,790854.3119351382,496928.67506813456,242881.45764127772,51044.17922572591,62295577.21684614,0.17331969738006592,0.05390605407999356,0.17320368675306802,0.092813665542842,2741005.0863605035,1836472.6165145934,904531.245406568,1.2244393420405686
2020-07-24,19164821.469975937,85578.36118803173,4871.693878227604,3914.6965952985847,1964.2619906254927,795726.0058133658,500843.37166343315,244845.71963190322,50036.91451802943,62295577.36409157,0.14724542945623398,0.04594662498512633,0.1476292923421085,0.07910940831049554,2741005.1323071285,1836472.7641438858,904531.3245159764,1.0436472663423046
2020-07-25,19248326.497667104,83505.02769116685,4766.780337004006,3841.7587356284403,1928.2374673405252,800492.7861503698,504685.1303990616,246773.95709924374,49033.69865206446,62295577.4897638,0.12567222863435745,0.03916243142722752,0.12583129896982947,0.06742873999716073,2741005.17146956,1836472.8899751848,904531.3919447163,0.8895496587501839
2020-07-26,19329890.67405329,81564.17638618499,4662.762530201154,3768.894596551558,1892.2118567482778,805155.5486805709,508454.02499561314,248666.168955992,48035.35472896576,62295577.59709592,0.10733212530612946,0.03337970968534711,0.10725197610500098,0.05747281942402486,2741005.2048492697,1836472.997227161,904531.4494175358,0.7582045729504898
2020-07-27,19409506.5515966,79615.87754331157,4559.735715596216,3696.1765779371735,1856.225336125707,809715.2843961671,512150.2015735503,250522.3942921177,47042.688530499145,62295577.688648455,0.09155253320932388,0.028450619503313103,0.09141597815822938,0.04898695159755036,2741005.233299889,1836473.0886431392,904531.4984044874,0.6462522625224665
2020-07-28,19487032.149646617,77525.59805001691,4457.7801454497385,3623.6707275874337,1820.3171606658975,814173.064541617,515773.8723011377,252342.7114527836,46056.48078769562,62295577.76648644,0.0778379887342453,0.02424924419248261,0.07791818611517846,0.041754040223227026,2741005.257549133,1836473.1665613253,904531.5401585276,0.5508292802842334
2020-07-29,19562457.181626767,75425.03198014945,4356.9508889500685,3551.4376453250807,1784.5225498282516,818530.015430567,519325.3099464628,254127.23400261186,45077.471481492306,62295577.83283881,0.06635236740112305,0.02066820629375981,0.06641333443499589,0.03558903870914845,2741005.2782173394,1836473.2329746597,904531.5757475663,0.4694951134733856
2020-07-30,19636047.72862638,73590.54699961469,4257.301651493138,3479.534214473341,1748.871163461035,822787.3170820602,522804.84416093613,255876.1051660729,44106.36775505112,62295577.88944525,0.056606441736221313,0.01761593895109951,0.05660715952934085,0.030334241941364033,2741005.2958332784,1836473.2895818192,904531.6060818082,0.40016965102404356
2020-07-31,19707923.845625244,71876.11699886248,4158.902532324638,3408.01540301116,1713.3883161879457,826946.2196143848,526212.8595639473,257589.49348226085,43143.86656817666,62295577.93774345,0.048298195004463196,0.01501440216620083,0.048248853692842694,0.025855263634795723,2741005.3108476806,1836473.337830673,904531.6319370718,0.3410799357807264
2020-08-01,19778025.626904678,70101.78127943352,4061.8160268349848,3336.935500621885,1678.0976360246987,831008.0356412198,529549.7950645692,259267.59111828555,42190.64945836505,62295577.978901334,0.041157886385917664,0.012797081291912414,0.04112463944706307,0.022037581942350018,2741005.323644762,1836473.3789553123,904531.6539746537,0.2907147959340364
2020-08-02,19846127.277146917,68101.65024223924,3966.0650192358753,3266.348475151365,1643.023276553091,834974.1006604556,532816.1435397206,260910.61439483863,41247.34272589645,62295578.01391041,0.035009078681468964,0.010907258309787102,0.035052300304902896,0.018783581850928762,2741005.3345520203,1836473.4140076125,904531.6727582356,0.24778617219999433
2020-08-03,19912327.556527376,66200.27938045934,3871.649726067685,3196.307612929704,1608.1908342321135,838845.7503865233,536012.4511526503,262518.8052290708,40314.494004802254,62295578.04376047,0.029850058257579803,0.009296566401359141,0.0298765235065485,0.016010043403507406,2741005.3438485865,1836473.443884136,904531.688768279,0.21119617158547044
2020-08-04,19976901.319452338,64573.762924961746,3778.600011197688,3126.8648950168777,1573.6270877878508,842624.350397721,539139.3160476672,264092.4323168586,39392.60203319526,62295578.06923048,0.025470010936260223,0.007923777741220675,0.025464931050486642,0.013646018681996153,2741005.351772364,1836473.469349067,904531.7024142977,0.18000899953767657
2020-08-05,20039892.522205725,62991.20275338739,3686.9890561135676,3058.070350597557,1539.3589946155785,846311.3394538346,542197.3863982648,265631.79131147417,38482.16174409562,62295578.090970255,0.021739773452281952,0.006753756635277996,0.02170469527127131,0.011631031825533458,2741005.358526121,1836473.4910537621,904531.7140453296,0.1534270291449502
2020-08-06,20101157.915072564,61265.39286683872,3596.881108859324,2989.971267277776,1505.4125434484722,849908.2205626939,545187.3576655425,267137.2038549226,37583.65904222877,62295578.109503984,0.018533729016780853,0.005756549322931495,0.018499652166791093,0.009913542285433348,2741005.3642826704,1836473.5095534143,904531.7239588719,0.13077038421761245
2020-08-07,20160662.80929728,59504.89422471449,3508.2822761206985,2922.6112498517905,1471.812061561529,853416.5028388146,548109.9689153943,268609.0159164841,36697.51800693624,62295578.1252459,0.01574191451072693,0.004906614183024427,0.015767839423560165,0.008449627710852451,2741005.3691892847,1836473.5253212538,904531.7324084996,0.11145953135564923
2020-08-08,20218622.187748183,57959.37845090404,3421.159668932707,2856.029614366644,1438.5800266135593,856837.6625077473,550965.9985297609,270047.59594309767,35824.06803488877,62295578.1386523,0.013406403362751007,0.0041821821531617355,0.013439397275156341,0.007201856457047432,2741005.373371467,1836473.5387606511,904531.739610356,0.09500045981258154
2020-08-09,20275097.482651684,56475.29490350187,3335.4951538902815,2790.2616580671174,1405.736826778742,860173.1576616375,553756.260187828,271453.3327698764,34963.56470393314,62295578.150099315,0.011447012424468994,0.003564713744279139,0.011454779438488515,0.006138325522748973,2741005.3769361805,1836473.5502154306,904531.7457486816,0.08097206836100668
2020-08-10,20330037.20283066,54939.720178976655,3251.3010905403935,2725.3396031536718,1373.3002097832277,863424.4587521779,556481.5997909816,272826.63297965965,34116.22598153661,62295578.1598794,0.00978008657693863,0.0030384203742080756,0.00976322880803607,0.005231841376884129,2741005.379974601,1836473.5599786593,904531.750980523,0.0690154186449945
2020-08-11,20383376.110906877,53338.908076215535,3168.595686623795,2661.29327680428,1341.2850893842342,866593.0544388017,559142.8930677859,274167.9180690439,33282.24330197193,62295578.16821821,0.0083388090133667,0.0025898422646249706,0.008321478903130902,0.004459222928819058,2741005.382564443,1836473.5683001382,904531.7554397458,0.058824559091590345
2020-08-12,20435267.598286122,51891.48737924546,3087.389772004709,2598.1498190786297,1309.7044462768765,869680.4442108064,561741.0428868645,275477.6225153208,32461.778808621108,62295578.175299436,0.007081225514411926,0.002207494757810092,0.007092647686373605,0.0038007085157137858,2741005.384771938,1836473.575392786,904531.7592404544,0.050138697610236704
